task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
215	2c/b1c6db	622165	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:15;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-19 18:23:56.556	24m 35s	24m 14s	659.9%	14.9 GB	16.7 GB	158.4 GB	154.3 GB
203	a5/8a4c30	622154	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:13;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-19 18:18:41.551	29m 55s	28m 24s	540.4%	16.7 GB	18.3 GB	158.3 GB	154.3 GB
170	13/69bbf3	622119	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:9;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 17:59:36.338	49m 11s	48m 47s	308.6%	8.6 GB	9.6 GB	158.6 GB	154.5 GB
183	b7/ce38eb	622133	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:11;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 18:06:16.243	42m 56s	42m 39s	349.1%	11 GB	12.5 GB	159 GB	154.7 GB
214	c1/e8cd51	622167	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:15;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 18:24:21.570	24m 55s	24m 32s	653.1%	13 GB	15 GB	158.4 GB	154.4 GB
172	c3/f7889b	622121	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:9;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-19 18:00:36.109	49m 11s	48m 46s	304.7%	9 GB	11.7 GB	158.9 GB	154.7 GB
206	e6/c75597	622157	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:13;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-19 18:20:51.541	30m	20m 2s	784.8%	22.3 GB	23.3 GB	158.3 GB	154.3 GB
205	5b/62ffe1	622156	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:13;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-19 18:20:41.559	30m 30s	22m 25s	701.7%	20.4 GB	21.7 GB	158.3 GB	154.3 GB
227	a5/56adcc	622178	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:17;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 18:28:36.686	23m 30s	23m 17s	683.9%	11.2 GB	12.8 GB	158.4 GB	154.4 GB
225	4f/76c2af	622177	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:17;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 18:27:31.548	25m 30s	25m 13s	641.5%	10.9 GB	14.4 GB	158.5 GB	154.4 GB
226	5e/3cf7c1	622179	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:17;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 18:28:41.935	24m 35s	24m 2s	670.6%	13 GB	15.2 GB	158.4 GB	154.4 GB
209	6f/556cb9	622160	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:13;MEM_PER_THREAD:23GB)	COMPLETED	0	2022-02-19 18:21:26.536	31m 56s	22m 2s	712.8%	24.1 GB	26.6 GB	158.3 GB	154.3 GB
222	f7/1c45ea	622175	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:17;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 18:26:21.542	27m 21s	26m 55s	583.9%	9.2 GB	10.7 GB	158.6 GB	154.5 GB
217	ae/e6185f	622168	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:15;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-19 18:24:26.884	29m 25s	21m 3s	751.6%	18.6 GB	20.1 GB	158.3 GB	154.3 GB
218	a5/18dbc9	622169	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:15;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-19 18:24:31.545	29m 36s	20m 18s	779.1%	20.4 GB	21.9 GB	158.3 GB	154.3 GB
207	9b/e7c907	622158	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:13;MEM_PER_THREAD:25GB)	COMPLETED	0	2022-02-19 18:21:11.543	33m 41s	21m 34s	721.5%	26 GB	28.3 GB	158.3 GB	154.3 GB
228	6b/61702f	622181	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:17;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-19 18:29:16.751	25m 40s	21m 37s	740.2%	14.9 GB	16.9 GB	158.4 GB	154.3 GB
210	91/4afe39	622161	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:15;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-19 18:21:41.575	34m 1s	33m 57s	456.8%	9.1 GB	10.3 GB	158.6 GB	154.5 GB
4	4c/6f6789	621844	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:1;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-19 16:13:00.786	2h 43m 26s	2h 43m 8s	98.8%	7 GB	10.4 GB	190 GB	198.5 GB
3	e2/ed904b	621843	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:1;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 16:13:00.694	2h 44m 12s	2h 43m 53s	98.2%	5 GB	8.8 GB	190 GB	198.5 GB
224	33/a89c26	622176	sambamba_coordinate_sort_proc (A-CUHS-CU000208-BL-COL-56227BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUS:17;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-19 18:26:51.550	30m 21s	29m 54s	520.4%	9.8 GB	11.2 GB	158.5 GB	154.4 GB
7	e1/c49536	621847	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:1;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-19 16:13:01.093	2h 44m 16s	2h 43m 56s	98.7%	13 GB	15.3 GB	189.9 GB	198.5 GB
8	d3/525de1	621849	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:1;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-19 16:13:01.253	2h 44m 21s	2h 44m 1s	98.8%	15 GB	17 GB	189.9 GB	198.5 GB
117	c8/3d6b45	622030	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:17;MEM_PER_THREAD:25GB)	COMPLETED	0	2022-02-19 16:41:05.122	2h 16m 42s	18m 39s	960.5%	26.1 GB	28.3 GB	190 GB	198.5 GB
5	55/978517	621845	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:1;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-19 16:13:00.883	2h 44m 56s	2h 44m 36s	98.8%	9 GB	11.8 GB	190 GB	198.5 GB
6	0a/b3a2c1	621846	sambamba_coordinate_sort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUS:1;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-19 16:13:00.932	2h 45m 6s	2h 44m 45s	98.8%	11 GB	13.5 GB	190 GB	198.5 GB
