task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	%mem	peak_rss	peak_vmem	rchar	wchar
4	e3/fcf1e7	630041	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:1GB)	FAILED	137	2022-02-24 18:42:42.921	18m 54s	18m 50s	-	-	-	-	-	-	-
3	d9/38fa1b	630040	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:1GB)	FAILED	137	2022-02-24 18:42:42.726	27m 44s	27m 40s	-	-	-	-	-	-	-
17	3f/8e7abc	630055	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-24 18:42:44.851	1h 42m 43s	1h 42m 37s	98.2%	5.8 GB	1.1%	5.8 GB	7.2 GB	136.9 GB	120 GB
6	70/9edcc1	630043	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-24 18:42:43.184	1h 43m 44s	1h 43m 43s	97.1%	1.2 GB	0.2%	1.2 GB	2.5 GB	138.1 GB	121.2 GB
30	7c/dfff6c	630066	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-24 18:42:45.483	1h 43m 42s	1h 43m 37s	98.1%	12.6 GB	2.5%	12.6 GB	14.6 GB	136.3 GB	119.5 GB
22	5a/d30754	630059	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-24 18:42:45.222	1h 43m 47s	1h 43m 43s	98.2%	8 GB	1.6%	8 GB	9.6 GB	136.6 GB	119.7 GB
27	a1/876563	630064	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-24 18:42:45.406	1h 44m 22s	1h 44m 18s	98.2%	10.3 GB	2.0%	10.3 GB	11.7 GB	137.8 GB	120.9 GB
10	1a/0377d1	630047	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-24 18:42:43.792	1h 44m 49s	1h 44m 41s	98.0%	3.5 GB	0.7%	3.5 GB	5 GB	138 GB	121.1 GB
8	71/e981f3	630051	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-24 18:42:44.249	1h 58m 38s	1h 58m 36s	98.2%	3.5 GB	0.7%	3.5 GB	5 GB	180.8 GB	178.6 GB
20	8a/c9a867	630057	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-24 18:42:45.091	1h 58m 38s	1h 58m 32s	98.4%	8.2 GB	1.6%	8.2 GB	9.7 GB	180.8 GB	178.6 GB
5	6b/2bd99b	630045	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-24 18:42:43.522	1h 59m 4s	1h 59m	97.5%	1.2 GB	0.2%	1.2 GB	2.5 GB	181.5 GB	179.2 GB
23	55/73a24f	630060	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-24 18:42:45.253	2h 2s	2h	98.3%	10.5 GB	2.1%	10.5 GB	12.6 GB	180.8 GB	178.6 GB
14	36/fab013	630061	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-24 18:42:45.295	2h 7s	2h 2s	98.2%	5.9 GB	1.2%	5.9 GB	7.6 GB	180.8 GB	178.6 GB
18	d4/721541	630054	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-24 18:42:44.727	2h 16m 48s	2h 16m 44s	99.0%	8.9 GB	1.8%	8.9 GB	9.4 GB	147.9 GB	144.3 GB
9	5a/4c9e33	630052	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-24 18:42:44.383	2h 18m 53s	2h 18m 47s	98.6%	6 GB	1.2%	6 GB	8.2 GB	148 GB	144.4 GB
25	86/5ef6fa	630068	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-24 18:42:45.560	2h 19m 7s	2h 19m 1s	99.0%	9 GB	1.8%	9.2 GB	12.5 GB	147.8 GB	144.3 GB
29	62/b2931b	630075	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-24 19:10:27.226	1h 58m 20s	1h 58m 16s	98.5%	12.9 GB	2.6%	12.9 GB	14.8 GB	178.8 GB	176.5 GB
7	8e/3f1ffa	630046	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:3GB)	FAILED	137	2022-02-24 18:42:43.685	2h 37m 39s	2h 37m 36s	-	-	-	-	-	-	-
13	80/0919d0	630050	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-24 18:42:44.134	2h 43m 4s	2h 43m 1s	99.1%	7.2 GB	1.4%	7.2 GB	8.8 GB	190 GB	198.5 GB
26	71/7a5b28	630067	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-24 18:42:45.519	2h 45m 7s	2h 45m 1s	99.0%	8.7 GB	1.7%	8.9 GB	10.4 GB	190 GB	198.5 GB
38	44/1b5b8a	630095	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-24 20:41:47.633	1h 43m 55s	1h 43m 51s	98.3%	14.9 GB	3.0%	14.9 GB	16.9 GB	136.6 GB	119.7 GB
42	a0/ee2b8d	630097	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-24 20:42:52.625	1h 42m 55s	1h 42m 53s	98.5%	17.2 GB	3.4%	17.2 GB	19 GB	135.6 GB	118.8 GB
39	d0/25e894	630089	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-24 20:26:32.595	2h	1h 59m 57s	98.4%	17.5 GB	3.5%	17.5 GB	19.1 GB	180.8 GB	178.6 GB
16	27/3abfdd	630053	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-24 18:42:44.551	3h 45m 28s	3h 45m 26s	98.7%	5.8 GB	1.1%	5.8 GB	7.2 GB	146.5 GB	129.3 GB
21	87/731a16	630058	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-24 18:42:45.184	3h 45m 28s	3h 45m 25s	98.7%	8 GB	1.6%	8.1 GB	9.7 GB	146.2 GB	129 GB
2	42/1401c0	630044	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-24 18:42:43.290	3h 47m 55s	3h 47m 51s	98.4%	1.2 GB	0.2%	1.2 GB	2.7 GB	147.8 GB	130.6 GB
33	06/2cbf06	630086	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-24 20:25:27.732	2h 5m 20s	2h 5m 15s	98.0%	15.2 GB	3.0%	15.2 GB	16.9 GB	180 GB	177.7 GB
28	57/a22f9d	630063	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-24 18:42:45.368	3h 49m 23s	3h 49m 18s	98.7%	10.3 GB	2.0%	10.3 GB	11.9 GB	147.5 GB	130.2 GB
11	b1/624f8d	630048	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-24 18:42:43.919	3h 49m 49s	3h 49m 45s	98.5%	3.5 GB	0.7%	3.5 GB	5 GB	147.6 GB	130.4 GB
47	d0/df12dc	630103	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-24 21:01:37.749	1h 42m 25s	1h 42m 20s	98.7%	19.5 GB	3.9%	19.5 GB	21.1 GB	134.9 GB	118.1 GB
34	d7/636d95	630087	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-24 20:26:27.642	2h 19m	2h 18m 56s	99.1%	10.8 GB	2.1%	11 GB	11.4 GB	147.8 GB	144.2 GB
32	92/a51f26	630072	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-24 19:01:37.301	3h 52m 11s	3h 52m 5s	96.8%	12.6 GB	2.5%	12.6 GB	14.8 GB	145.9 GB	128.6 GB
45	6e/6e88a7	630098	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-24 20:59:32.793	1h 58m 50s	1h 58m 48s	98.6%	19.8 GB	3.9%	19.8 GB	21.2 GB	178.2 GB	176 GB
40	2b/b8a2a9	630094	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-24 20:41:22.812	2h 19m 55s	2h 19m 51s	98.6%	12.1 GB	2.4%	12.4 GB	13.8 GB	147.8 GB	144.2 GB
19	82/1a652b	630056	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-24 18:42:44.979	4h 22m 48s	4h 22m 45s	98.8%	8.2 GB	1.6%	8.2 GB	9.7 GB	189.3 GB	187 GB
15	e3/a592da	630049	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-24 18:42:44.017	4h 24m 14s	4h 24m 11s	98.8%	5.9 GB	1.2%	5.9 GB	7.6 GB	189.3 GB	187 GB
31	26/fb29a5	630069	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-24 18:42:45.597	4h 24m 28s	4h 24m 24s	98.7%	12.9 GB	2.6%	12.9 GB	14.9 GB	187.1 GB	184.8 GB
1	17/caff48	630042	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-24 18:42:43.039	4h 24m 45s	4h 24m 41s	98.6%	1.2 GB	0.2%	1.2 GB	2.7 GB	190 GB	187.7 GB
12	d8/40d78c	630062	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-24 18:42:45.336	4h 25m 48s	4h 25m 46s	98.6%	3.5 GB	0.7%	3.5 GB	5 GB	189.3 GB	187 GB
24	43/bcc35a	630065	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-24 18:42:45.449	4h 26m 13s	4h 26m 9s	98.8%	9.9 GB	2.0%	10.5 GB	12.6 GB	189.3 GB	187 GB
35	2d/b2cd83	630088	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-24 20:26:27.735	2h 45m 35s	2h 45m 35s	99.1%	10.5 GB	2.1%	10.8 GB	11.8 GB	190 GB	198.5 GB
48	98/9a679f	630118	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-24 21:27:52.896	1h 45m 25s	1h 45m 22s	97.4%	21.8 GB	4.3%	21.8 GB	23.2 GB	135.9 GB	119 GB
52	37/0bdc3a	630117	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-24 21:25:47.868	1h 59m 10s	1h 59m 9s	98.1%	22.2 GB	4.4%	22.2 GB	24.9 GB	177.6 GB	175.4 GB
50	70/f7c3ea	630116	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-24 21:20:22.828	2h 19m 56s	2h 19m 52s	98.5%	14.2 GB	2.8%	14.4 GB	15.6 GB	147.8 GB	144.2 GB
41	ff/9e947c	630104	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:11GB)	COMPLETED	0	2022-02-24 21:01:52.772	2h 45m 51s	2h 45m 47s	98.8%	12.2 GB	2.4%	12.4 GB	13.5 GB	190 GB	198.5 GB
46	28/5ccfb7	630109	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-24 21:08:47.803	2h 45m 41s	2h 45m 39s	98.8%	14 GB	2.8%	14.3 GB	15.3 GB	189.9 GB	198.5 GB
59	33/bee28f	630134	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-24 22:32:08.072	1h 44m 20s	1h 44m 16s	97.6%	24 GB	4.8%	24 GB	26.9 GB	134.9 GB	118.1 GB
37	37/049d82	630091	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-24 20:27:32.586	3h 51m 1s	3h 50m 59s	98.1%	14.9 GB	3.0%	14.9 GB	16.8 GB	146.1 GB	128.9 GB
54	c6/52cc17	630130	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-24 22:28:13.071	2h 56s	2h 51s	98.4%	24.5 GB	4.9%	24.5 GB	27.1 GB	180.8 GB	178.6 GB
44	8a/484fd6	630093	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-24 20:41:22.765	3h 51m 1s	3h 50m 55s	97.7%	17.2 GB	3.4%	17.2 GB	19 GB	145.1 GB	127.9 GB
62	ff/510b17	630143	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:2;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-24 22:53:48.203	1h 44m 5s	1h 44m 5s	98.0%	1.2 GB	0.2%	1.2 GB	2.5 GB	138.1 GB	121.2 GB
60	09/bde36c	630141	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:2;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-24 22:45:28.125	1h 58m 51s	1h 58m 49s	98.5%	1.2 GB	0.2%	1.2 GB	2.5 GB	181.5 GB	179.2 GB
67	48/73dded	630153	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:2;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-24 23:07:28.221	1h 43m 6s	1h 43m 1s	99.2%	3.5 GB	0.7%	3.5 GB	5.1 GB	138 GB	121.1 GB
36	51/443284	630090	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:13GB)	COMPLETED	0	2022-02-24 20:27:07.579	4h 27m 21s	4h 27m 17s	98.3%	15.2 GB	3.0%	15.2 GB	17 GB	188.4 GB	186 GB
73	6f/3b369c	630157	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:2;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-24 23:13:18.270	1h 42m 56s	1h 42m 51s	99.1%	5.8 GB	1.1%	5.8 GB	7 GB	136.9 GB	120 GB
56	a5/e3442d	630140	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-24 22:44:03.194	2h 18m 21s	2h 18m 15s	99.1%	16.2 GB	3.2%	16.5 GB	17.2 GB	147.7 GB	144.2 GB
65	c4/dedf26	630152	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:2;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-24 23:07:13.204	1h 58m 6s	1h 58m 4s	99.2%	3.5 GB	0.7%	3.5 GB	4.9 GB	180.8 GB	178.6 GB
43	ab/e3281c	630096	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-24 20:42:47.667	4h 25m 56s	4h 25m 54s	98.8%	17.5 GB	3.5%	17.5 GB	19.3 GB	189.3 GB	187 GB
82	39/684746	630177	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:2;MEM_PER_THREAD:1GB)	FAILED	137	2022-02-25 00:44:18.858	24m 55s	24m 50s	-	-	-	-	-	-	-
53	92/43fa4c	630129	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-24 22:26:33.050	2h 45m 21s	2h 45m 16s	98.8%	15.8 GB	3.1%	16.3 GB	17 GB	189.9 GB	198.5 GB
58	33/f52424	630132	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-24 22:30:38.074	2h 46m 16s	2h 46m 14s	99.0%	17.7 GB	3.5%	18.1 GB	18.8 GB	189.9 GB	198.5 GB
63	4e/3470cb	630144	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-24 22:58:23.286	2h 19m 36s	2h 19m 31s	98.8%	17.7 GB	3.5%	17.9 GB	19 GB	147.7 GB	144.1 GB
75	57/72e149	630158	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:2;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-24 23:24:58.378	1h 58m 16s	1h 58m 13s	99.3%	5.9 GB	1.2%	5.9 GB	7.5 GB	180.8 GB	178.6 GB
69	12/de87f2	630156	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-24 23:12:03.267	2h 19m 6s	2h 19m 4s	99.1%	20 GB	4.0%	20.3 GB	20.7 GB	147.7 GB	144.1 GB
80	1a/b45437	630175	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:2;MEM_PER_THREAD:1GB)	FAILED	137	2022-02-25 00:32:23.816	1h 2m 30s	1h 2m 25s	-	-	-	-	-	-	-
68	08/b3f7d4	630155	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-24 23:08:58.230	2h 45m 31s	2h 45m 28s	99.1%	20 GB	4.0%	20.4 GB	21.9 GB	189.9 GB	198.5 GB
79	a4/1bc326	630173	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:2;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 00:18:33.702	1h 43m	1h 42m 57s	99.3%	8 GB	1.6%	8 GB	9.5 GB	136.6 GB	119.7 GB
78	d9/3e7298	630164	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-24 23:54:28.523	2h 18m 31s	2h 18m 28s	99.0%	21.6 GB	4.3%	22 GB	23.9 GB	147.7 GB	144.1 GB
84	1f/96960c	630178	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:2;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 00:50:33.834	1h 24m 15s	1h 24m 11s	196.3%	7.8 GB	1.5%	8 GB	9.3 GB	190 GB	198.5 GB
49	bb/7871ce	630127	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-24 22:25:43.109	3h 49m 31s	3h 49m 28s	98.4%	19.5 GB	3.9%	19.5 GB	21.1 GB	144.3 GB	127.1 GB
57	d0/a8b4e7	630131	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-24 22:28:13.128	3h 50m 26s	3h 50m 19s	98.5%	21.7 GB	4.3%	21.8 GB	23.3 GB	145.3 GB	128.1 GB
88	9c/b55598	630183	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:2;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 01:08:43.910	1h 10m 30s	1h 10m 30s	197.1%	8.1 GB	1.6%	8.2 GB	9.9 GB	147.9 GB	144.3 GB
74	64/afab4a	630159	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-24 23:40:18.490	2h 44m 21s	2h 44m 16s	98.9%	21.7 GB	4.3%	22.1 GB	23.7 GB	189.9 GB	198.5 GB
77	da/055cbe	630174	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:2;MEM_PER_THREAD:7GB)	COMPLETED	0	2022-02-25 00:29:08.767	1h 58m 15s	1h 58m 11s	99.4%	8.2 GB	1.6%	8.2 GB	9.6 GB	180.8 GB	178.6 GB
83	5b/2c173a	630176	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:2;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 00:37:53.809	1h 58m 30s	1h 58m 29s	99.4%	10.5 GB	2.1%	10.5 GB	12.5 GB	180.8 GB	178.6 GB
91	7f/f4c5e7	630185	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:2;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 01:11:53.920	1h 25m 45s	1h 25m 44s	195.1%	11.5 GB	2.3%	11.8 GB	12.8 GB	190 GB	198.5 GB
93	b5/1f28a0	630189	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:2;MEM_PER_THREAD:5GB)	COMPLETED	0	2022-02-25 01:31:09.070	1h 10m 40s	1h 10m 37s	196.7%	11.8 GB	2.3%	11.9 GB	12.3 GB	147.8 GB	144.2 GB
86	21/29a8f7	630182	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:2;MEM_PER_THREAD:9GB)	COMPLETED	0	2022-02-25 01:05:18.892	1h 43m 10s	1h 43m 9s	99.3%	10.3 GB	2.0%	10.3 GB	11.7 GB	137.8 GB	120.9 GB
51	ad/412f2e	630128	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-24 22:25:48.041	4h 25m 36s	4h 25m 36s	98.4%	19.8 GB	3.9%	19.9 GB	21.4 GB	186.4 GB	184.1 GB
55	05/ec6353	630133	samtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:1;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-24 22:30:48.062	4h 22m 46s	4h 22m 44s	98.9%	22.2 GB	4.4%	22.2 GB	25 GB	185.8 GB	183.5 GB
64	5b/addbf6	630146	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:1;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-24 23:05:33.259	3h 48m 16s	3h 48m 12s	98.5%	24 GB	4.8%	24.1 GB	27 GB	144.3 GB	127.1 GB
72	a9/d165e3	630154	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:2;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-24 23:08:33.289	3h 47m 36s	3h 47m 32s	99.4%	3.5 GB	0.7%	3.5 GB	5 GB	147.6 GB	130.4 GB
