task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	rss	%mem	peak_rss	peak_vmem	rchar	wchar
327	45/1731d3	638606	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:5;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-25 12:37:17.140	35m 50s	35m 46s	409.4%	70.4 GB	14.0%	71.2 GB	73.8 GB	147.5 GB	144 GB
333	75/3083b5	638614	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 12:40:51.997	32m 20s	32m 16s	334.3%	16.8 GB	3.3%	17.2 GB	19.9 GB	135.7 GB	118.8 GB
326	2e/c72a80	638607	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 12:37:22.033	36m 10s	36m 8s	344.0%	5.9 GB	1.2%	5.9 GB	8.2 GB	180.9 GB	178.7 GB
331	86/31d0e6	638613	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:5;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-25 12:40:27.071	34m 55s	34m 51s	485.0%	82.9 GB	16.5%	83.5 GB	88.7 GB	189.9 GB	198.4 GB
324	ad/f4ac15	638605	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:5;MEM_PER_THREAD:15GB)	COMPLETED	0	2022-02-25 12:37:17.129	38m 45s	38m 42s	446.5%	72.8 GB	14.5%	72.8 GB	80 GB	189.9 GB	198.4 GB
325	ce/d2337e	638608	Lsamtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:5;MEM_PER_THREAD:21GB)	COMPLETED	0	2022-02-25 12:37:27.011	39m	38m 59s	272.2%	93.5 GB	18.6%	95.9 GB	97.8 GB	130.9 GB	114 GB
334	e9/915462	638616	sambamba_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:5;MEM_PER_THREAD:17GB)	COMPLETED	0	2022-02-25 12:46:02.071	30m 55s	30m 53s	474.2%	81.2 GB	16.1%	81.8 GB	85.5 GB	147.5 GB	144 GB
339	ca/41e376	638615	sambamba_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:5;MEM_PER_THREAD:19GB)	COMPLETED	0	2022-02-25 12:43:22.086	36m 10s	36m 9s	476.1%	92.9 GB	18.5%	92.9 GB	97.3 GB	189.9 GB	198.4 GB
323	cc/1d0ce3	638603	samtools_csort_proc (A-CUHS-CU002707-BL-COL-40848BL1_vcpa1.0_GRU-IRB-PUB.collated;CPUs:6;MEM_PER_THREAD:1GB)	COMPLETED	0	2022-02-25 12:34:36.973	47m 30s	47m 27s	486.9%	5.5 GB	1.1%	5.8 GB	7.9 GB	146.7 GB	129.5 GB
335	97/ed4aee	638617	Lsamtools_csort_proc (A-CUHS-CU003128-BL-COL-49696BL1.unsorted;CPUs:6;MEM_PER_THREAD:3GB)	COMPLETED	0	2022-02-25 12:52:57.324	31m 15s	31m 13s	389.6%	17.5 GB	3.5%	17.5 GB	19.7 GB	180.8 GB	178.6 GB
